Unnamed: 0,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age,property_type_encoded
2713,377880,Office,50,85282.0,4,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2714,339164,Industrial,136,64101.0,2,1,0,1,"[""Other"", ""Loading bearing brick with timber columns and beams""]","[""Wood-framing with wood decking""]",0,0,7.0,1.0,,0
2715,415715,Industrial,103,29488.0,3,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2717,294799,Office,44031,95827.0,2,1,0,1,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional wood frame and wood decking ""]",1,0,1.0,2.0,,1
2718,365317,Office,78,45040.0,2,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Open-web steel joists with steel decking""]",1,0,2.0,1.0,,1
2719,547405,Office,15000,34102.0,3,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Cast-in-place concrete with concrete decking""]",1,0,3.0,6.0,,1
2720,543583,Industrial,60300,38375.0,3,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1.0,1.0,,0
2721,543570,Industrial,50600,38375.0,3,0,0,0,"[""Pre-fab metal""]","[""No upper floors present""]",0,0,1.0,1.0,,0
2722,545554,Office,8833,23434.0,3,1,1,0,"[""Wood-framed""]","[""No upper floors present""]",0,0,1.0,1.0,,1
2723,586419,Industrial,120620,22079.0,3,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Open-web steel joists with steel decking""]",1,0,2.0,1.0,,0
2724,367521,Industrial,20,84081.0,2,1,0,1,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional wood frame and wood decking ""]",1,0,2.0,11.0,,0
2725,401727,Office,2750,88011.0,4,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2726,316646,Office,27,30286.0,3,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Open-web steel joists with precast decking""]",1,0,1.0,1.0,,1
2727,540604,Office,803193,37203.0,3,0,0,0,"[""Cast-in-place concrete""]","[""Cast-in-place concrete with concrete decking""]",1,0,24.0,1.0,,1
2728,556993,Industrial,78000,17011.0,1,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Other"", ""A small mezzanine level was provided and was supported by interior CMU walls with steel beams and web joists that supported concrete topped metal decking.""]",1,0,1.0,1.0,,0
2729,555823,Office,1245,94070.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2730,555893,Industrial,35000,77040.0,4,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking""]",1,0,3.0,1.0,,0
2731,522184,Industrial,518350,46168.0,2,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,1.0,1.0,,0
2732,373016,Industrial,75,48150.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2733,526687,Office,35672,94301.0,2,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,3.0,2.0,,1
2734,527349,Industrial,5929,32218.0,3,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,,0
2735,446235,Industrial,61,75006.0,4,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,4.0,,0
2736,314346,Office,45,92110.0,2,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,5.0,35.0,,1
2737,380772,Office,859,19103.0,1,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,39.0,136.0,,1
2738,384607,Industrial,98,33782.0,3,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2739,350045,Office,182,80202.0,2,0,0,0,"[""Precast concrete wall panels, concrete columns, steel stud partition framing""]","[""Cast-in-place concrete with post tension concrete slabs""]",1,0,5.0,6.0,,1
2740,380754,Industrial,39,54479.0,2,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1.0,1.0,,0
2741,473202,Office,58367,23060.0,3,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed"", ""Light-gauge steel""]","[""No upper floors present""]",1,0,1.0,1.0,,1
2742,446272,Industrial,21,77018.0,4,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,4.0,,0
2743,347152,Office,28,92121.0,2,1,0,1,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Wood plank-and-beam framing""]",1,0,2.0,2.0,,1
2744,526697,Office,84542,90212.0,2,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,3.0,6.0,,1
2745,583575,Industrial,301592,75032.0,4,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,1.0,0.0,0
2746,582634,Industrial,523640,77035.0,4,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""No upper floors present""]",1,0,1.0,1.0,1.0,0
2747,582823,Industrial,124044,92688.0,2,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1.0,1.0,,0
2748,584649,Industrial,86758,87106.0,4,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,3.0,,0
2749,390922,Office,428,60502.0,2,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Precast concrete with concrete decking""]",1,0,2.0,48.0,,1
2750,415026,Industrial,26,92127.0,2,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,9.0,,0
2751,431794,Industrial,50000,97230.0,2,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2752,308999,Industrial,193977,19124.0,1,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,1.0,1.0,,0
2753,351214,Office,48777,92653.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,3.0,24.0,,1
2754,303510,Office,269,89101.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking"", ""Conventional steel frame and metal deck with concrete fill""]",1,0,16.0,39.0,,1
2755,457458,Industrial,70700,33713.0,3,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,5.0,,0
2756,558596,Office,30758,64063.0,2,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing"", ""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Light-gauge steel and metal decking with concrete fill""]",1,0,2.0,5.0,,1
2758,377911,Office,253,91361.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Steel-framed with steel decking""]",1,0,2.0,1.0,,1
2759,365352,Office,117060,35806.0,3,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,3.0,1.0,,1
2760,365337,Office,220,21046.0,1,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,7.0,6.0,,1
2761,404248,Office,216,11201.0,1,0,0,0,"[""Other"", ""concrete encased steel frame building with reinforce concrete floors.""]","[""Steel-framed with steel decking and concrete topping""]",1,0,10.0,15.0,,1
2762,293398,Office,36,37312.0,3,0,0,0,"[""Steel-framed"", ""Other"", ""a Porte-Cochere extends from the front of the building at the common entry doors.""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2.0,6.0,,1
2763,315395,Office,44506,92220.0,2,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,3.0,1.0,,1
2765,330923,Office,9850,92618.0,2,1,0,1,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Conventional wood frame and wood decking ""]",1,0,2.0,1.0,,1
2766,574085,Industrial,64705,48309.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2767,576547,Industrial,22960,95050.0,2,1,0,1,"[""Concrete tilt-up perimeter walls""]","[""Wood-framing with wood decking""]",1,0,2.0,1.0,,0
2768,574320,Industrial,61669,33611.0,3,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,2.0,1.0,,0
2769,208723,Office,100,53718.0,2,0,0,0,"[""Steel-framed"", ""Precast concrete""]","[""Precast concrete with concrete decking"", ""Steel-framed with steel decking and concrete topping""]",1,0,5.0,9.0,,1
2770,207352,Industrial,216,97013.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with steel framing""]","[""Steel-framed with steel decking""]",1,0,1.0,2.0,,0
2771,298060,Office,39,92881.0,2,1,0,1,"[""Concrete tilt-up perimeter walls""]","[""Wood-framing with wood decking and concrete topping""]",1,0,2.0,21.0,,1
2772,345916,Industrial,13,27330.0,3,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,1.0,1.0,,0
2773,419285,Industrial,954000,46131.0,2,0,0,0,"[""Concrete tilt-up perimeter walls"", ""Steel-framed""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2774,425524,Industrial,250,53221.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1.0,2.0,,0
2775,455472,Industrial,140000,27101.0,3,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing"", ""CMU load bearing walls, steel columns, steel stud partition framing"", ""Masonry wythe bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
2776,293471,Office,14178,68508.0,2,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking"", ""Conventional steel frame and metal deck with concrete fill""]",1,0,2.0,2.0,,1
2777,395823,Residential,11,16801.0,1,1,1,1,"[""Conventional wood stud platform with isolated CMU""]","[""Conventional wood frame and wood decking ""]",1,0,3.0,1.0,,2
2778,455675,Office,118752,77060.0,4,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,3.0,12.0,,1
2779,328440,Office,29,94901.0,2,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with post tension concrete slabs""]",1,0,5.0,14.0,,1
2780,428664,Industrial,37,90058.0,2,1,0,1,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Wood-framing with wood decking""]",1,0,2.0,1.0,,0
2781,355697,Industrial,750,68137.0,2,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,1.0,1.0,,0
2782,461252,Industrial,33250,10603.0,1,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1.0,1.0,,0
