,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age
3079,365353,Office,83,95131,W,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2,1,
3080,461473,Industrial,11632,89801,W,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
3081,308689,Industrial,222,33023,SE,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking""]",1,0,1,3,
3082,353772,Office,103000,94612,W,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with post tension concrete slabs""]",1,0,5,None present,
3083,307139,Office,85,78239,SW,0,0,0,"[""Cast-in-place concrete"", ""Light-gauge steel""]","[""Cast-in-place concrete with concrete decking""]",1,0,Five,81,
3084,440893,Office,28,97201,W,1,0,1,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Conventional wood frame and wood decking ""]",1,0,Three,One,
3085,358373,Office,574675,10022,NE,0,0,0,"[""Cast-in-place concrete""]","[""Cast-in-place concrete with concrete decking""]",1,0,23,59,
3086,368362,Industrial,998472,31326,SE,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""No upper floors present""]",1,0,one,2,
3088,540444,Industrial,400801,89086,W,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,One,1,
3089,537971,Industrial,103808,24148,SE,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,1 + mezzanines,1,
3092,299407,Office,247,75039,SW,0,0,0,"[""Cast-in-place concrete""]","[""Cast-in-place concrete with concrete decking""]",1,0,Three,One,
3094,491336,Industrial,16181,60185,MW,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,one,1,
3096,303582,Office,79,55441,MW,0,0,0,"[""Precast concrete"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,five,five,
3097,250120,Industrial,138,19007,NE,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,One with two story office section,Six,
3098,494588,Industrial,6600,77531,SW,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
3099,496797,Office,23904,92131,W,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""No upper floors present""]",1,0,The building is a split grade single level structure with the upper grade level at the south elevation.,2,
3100,496589,Industrial,51842,27332,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1,1,
3101,496780,Industrial,130000,53594,MW,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
3102,496717,Industrial,206982,19154,NE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,one,1,
3103,496716,Industrial,136886,19154,NE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""Open-web steel joists with steel decking""]",1,0,One and two ,2,
3104,497277,Industrial,17300,70570,SE,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
3105,516316,Office,24000,29640,SE,1,1,1,"[""Wood-framed""]","[""Wood-framing with wood decking""]",0,0,two,3,
3107,438156,Office,193,97201,W,0,0,0,"[""Precast concrete""]","[""Cast-in-place concrete with concrete decking""]",1,0,Six,15,
3108,366620,Office,164,76177,SW,0,0,0,"[""Concrete tilt-up perimeter walls"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,3,1,
3109,381623,Industrial,49,48033,MW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1,1,
3110,458032,Industrial,527118,98188,W,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,One and two-story plus mezzanine,1,
3111,247914,Office,44,,W,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,Four,Five,
3112,183717,Office,18,94086,W,1,1,1,Wood-framed,Wood-framing with wooden decking,0,0,Single,Single ,
3113,450979,Industrial,42770,32404,SE,0,0,0,"[""Steel-framed"", ""Pre-fab metal"", ""Light-gauge steel""]","[""No upper floors present""]",0,0,One,1,
3115,405902,Industrial,50,33881,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,one,One,
3116,322566,Office,203,85258,SW,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with post tension concrete slabs""]",1,0,"Five: two-story office building, with three under-building parking levels",One,
3117,402895,Industrial,53,84321,W,0,0,0,"[""Pre-fab metal""]","[""Steel-framed with steel decking and concrete topping"", ""Open-web steel joists with steel decking""]",1,0,1 with mezzanine,Single tenant,
3118,298115,Office,4200,12508,NE,1,0,1,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Wood plank-and-beam framing""]",1,0,Two,one,
3119,395404,Office,15658,94063,W,1,0,1,"[""Other"", ""concrete shear walls.""]","[""Wood-framing with wood decking and concrete topping""]",1,0,"One, with a rooftop deck",None present,
3120,397135,Office,41,36116,SE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,two,1,
3121,391452,Industrial,252,60131,MW,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""No upper floors present""]",1,0,1,2,
3122,320011,Office,40,60005,MW,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,Two,One ,
3123,365335,Office,165,28262,SE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Four,One,
3124,448424,Office,180,10014,NE,0,0,0,"[""Cast-in-place concrete"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,8 plus basement,12,
3125,463676,Industrial,27000,13208,NE,1,1,1,"[""Wood-framed"", ""Steel-framed""]","[""Wood-framing with wood decking""]",0,0,Two,3,
3126,370158,Industrial,46,,W,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,One with mezzanine ,One,
3128,478325,Industrial,27000,14870,NE,0,0,0,"[""Light-gauge steel studs, CMU center core""]","[""Light-gauge steel and metal decking with concrete fill""]",1,0,Two,1,
3129,511157,Industrial,18043,60108,MW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,1,1,
3130,554634,Industrial,240000,44805,MW,0,0,0,"[""Light-gauge steel studs, CMU center core""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,Two-story,1,
3131,364076,Industrial,61,60160,MW,1,0,1,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Conventional wood frame and wood decking ""]",1,0,One ,One,
3132,456146,Industrial,36312,60101,MW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,2,
3133,437599,Industrial,971,46140,MW,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""No upper floors present""]",1,0,1,3,
3135,452623,Office,85947,32822,SE,0,0,0,"[""Precast concrete""]","[""Steel-framed with steel decking and concrete topping""]",1,0,two,1,
3136,226420,Industrial,40416,33619,SE,0,0,0,"[""Concrete tilt-up perimeter walls""]","[""""]",1,0,One,One,
3137,367152,Industrial,41,19720,NE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,1,1,
3138,492657,Office,120501,19462,NE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Five,3,
3139,490662,Office,1611,80302,W,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Three-stories (subject suite is a single-floor tenant space),1,
3140,460454,Industrial,251100,50010,MW,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,One plus mezzanine areas.,1,
3141,488674,Industrial,58167,94539,W,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""No upper floors present""]",1,0,1,2,
